rank,result
793,02:53:04
794,02:53:04
795,02:53:05
796,02:53:06
797,02:53:09
798,02:53:09
799,02:53:09
800,02:53:09
801,02:53:13
802,02:53:13
803,02:53:13
804,02:53:14
805,02:53:14
806,02:53:15
807,02:53:17
808,02:53:18
809,02:53:18
810,02:53:18
811,02:53:19
812,02:53:19
813,02:53:19
814,02:53:19
815,02:53:20
816,02:53:20
817,02:53:20
818,02:53:20
819,02:53:20
820,02:53:21
821,02:53:22
822,02:53:22
823,02:53:23
824,02:53:23
825,02:53:24
826,02:53:30
827,02:53:30
828,02:53:31
829,02:53:31
830,02:53:32
831,02:53:32
832,02:53:32
833,02:53:33
834,02:53:33
835,02:53:33
836,02:53:34
837,02:53:34
838,02:53:38
839,02:53:39
840,02:53:40
841,02:53:41
842,02:53:42
843,02:53:44
844,02:53:44
845,02:53:45
846,02:53:46
847,02:53:46
848,02:53:46
849,02:53:46
850,02:53:47
851,02:53:48
852,02:53:49
853,02:53:50
854,02:53:50
855,02:53:50
856,02:53:51
857,02:53:52
858,02:53:53
859,02:53:53
860,02:53:54
861,02:53:55
862,02:53:55
863,02:53:56
864,02:53:56
865,02:53:56
866,02:53:57
867,02:53:57
868,02:53:57
869,02:53:58
870,02:53:59
871,02:54:00
872,02:54:02
873,02:54:02
874,02:54:04
875,02:54:06
876,02:54:07
877,02:54:07
878,02:54:08
879,02:54:09
880,02:54:09
881,02:54:09
882,02:54:09
883,02:54:12
884,02:54:12
885,02:54:12
886,02:54:12
887,02:54:13
888,02:54:15
889,02:54:16
890,02:54:16
891,02:54:18
892,02:54:18
893,02:54:18
894,02:54:18
895,02:54:19
896,02:54:20
897,02:54:20
898,02:54:21
899,02:54:21
900,02:54:21
901,02:54:22
902,02:54:23
903,02:54:23
904,02:54:24
905,02:54:24
906,02:54:25
907,02:54:25
908,02:54:27
909,02:54:28
910,02:54:29
911,02:54:29
912,02:54:31
913,02:54:32
914,02:54:34
915,02:54:34
916,02:54:34
917,02:54:35
918,02:54:36
919,02:54:37
920,02:54:38
921,02:54:38
922,02:54:38
923,02:54:39
924,02:54:40
925,02:54:40
926,02:54:41
927,02:54:41
928,02:54:43
929,02:54:43
930,02:54:43
931,02:54:43
932,02:54:43
933,02:54:44
934,02:54:45
935,02:54:48
936,02:54:49
937,02:54:51
938,02:54:51
939,02:54:52
940,02:54:52
941,02:54:53
942,02:54:53
943,02:54:54
944,02:54:58
945,02:54:59
946,02:55:00
947,02:55:01
948,02:55:02
949,02:55:03
950,02:55:03
951,02:55:03
952,02:55:03
953,02:55:03
954,02:55:04
955,02:55:04
956,02:55:05
957,02:55:05
958,02:55:06
959,02:55:06
960,02:55:06
961,02:55:07
962,02:55:08
963,02:55:08
964,02:55:09
965,02:55:09
966,02:55:10
967,02:55:10
968,02:55:10
969,02:55:11
970,02:55:13
971,02:55:13
972,02:55:15
973,02:55:16
974,02:55:16
975,02:55:16
976,02:55:16
977,02:55:17
978,02:55:17
979,02:55:17
980,02:55:18
981,02:55:18
982,02:55:18
983,02:55:18
984,02:55:20
985,02:55:20
986,02:55:20
987,02:55:22
988,02:55:22
989,02:55:22
990,02:55:22
991,02:55:22
992,02:55:23
993,02:55:23
994,02:55:24
995,02:55:24
996,02:55:24
997,02:55:25
998,02:55:26
999,02:55:26
1000,02:55:26
1001,02:55:26
1002,02:55:27
1003,02:55:28
1004,02:55:29
1005,02:55:30
1006,02:55:31
1007,02:55:31
1008,02:55:32
1009,02:55:32
1010,02:55:33
1011,02:55:33
1012,02:55:34
1013,02:55:34
1014,02:55:36
1015,02:55:37
1016,02:55:37
1017,02:55:37
1018,02:55:38
1019,02:55:40
1020,02:55:40
1021,02:55:41
1022,02:55:41
1023,02:55:41
1024,02:55:42
1025,02:55:43
1026,02:55:44
1027,02:55:45
1028,02:55:46
1029,02:55:47
1030,02:55:47
1031,02:55:47
1032,02:55:47
1033,02:55:47
1034,02:55:47
1035,02:55:48
1036,02:55:49
1037,02:55:51
1038,02:55:51
1039,02:55:52
1040,02:55:52
1041,02:55:53
1042,02:55:53
1043,02:55:54
1044,02:55:57
1045,02:55:58
1046,02:55:58
1047,02:55:59
1048,02:55:59
1049,02:55:59
1050,02:55:59
1051,02:56:00
1052,02:56:01
1053,02:56:01
1054,02:56:02
1055,02:56:02
1056,02:56:02
1057,02:56:03
1058,02:56:03
1059,02:56:04
1060,02:56:04
1061,02:56:05
1062,02:56:05
1063,02:56:05
1064,02:56:06
1065,02:56:06
1066,02:56:06
1067,02:56:07
1068,02:56:07
1069,02:56:08
1070,02:56:08
1071,02:56:08
1072,02:56:09
1073,02:56:09
1074,02:56:09
1075,02:56:10
1076,02:56:12
1077,02:56:12
1078,02:56:12
1079,02:56:13
1080,02:56:14
1081,02:56:14
1082,02:56:14
1083,02:56:15
1084,02:56:16
1085,02:56:17
1086,02:56:17
1087,02:56:19
